timestamp,marketId,selectionId,side,price,size,level
1770136545361,1.253528103,8835056,BACK,50.00,0.95,0
1770136545361,1.253528103,8835056,BACK,46.00,7.27,1
1770136545361,1.253528103,8835056,BACK,36.00,8.22,2
1770136545361,1.253528103,8835056,BACK,34.00,7.00,3
1770136545361,1.253528103,8835056,BACK,30.00,2.00,4
1770136545361,1.253528103,8835056,BACK,32.00,10.00,5
1770136545361,1.253528103,8835056,BACK,26.00,4.00,6
1770136545361,1.253528103,8835056,BACK,29.00,2.00,7
1770136545361,1.253528103,8835056,BACK,28.00,3.00,8
1770136545361,1.253528103,8835056,BACK,27.00,3.00,9
1770136545361,1.253528103,8835056,BACK,1.01,3808.56,10
1770136545361,1.253528103,8835056,BACK,5.00,431.07,11
1770136545361,1.253528103,8835056,BACK,1.02,172.64,12
1770136545361,1.253528103,8835056,LAY,75.00,3.88,0
1770136545361,1.253528103,8835056,LAY,380.00,2.59,1
1770136545361,1.253528103,8835056,LAY,280.00,2.59,2
1770136545361,1.253528103,8835056,LAY,350.00,2.59,3
1770136545361,1.253528103,8835056,LAY,330.00,2.59,4
1770136545361,1.253528103,8835056,LAY,150.00,2.59,5
1770136545376,1.253528103,10702893,BACK,1.15,879.58,0
1770136545376,1.253528103,10702893,BACK,1.14,441.60,1
1770136545376,1.253528103,10702893,BACK,1.16,362.04,2
1770136545376,1.253528103,10702893,BACK,1.11,8.84,3
1770136545376,1.253528103,10702893,BACK,1.17,47.00,4
1770136545376,1.253528103,10702893,BACK,1.18,1.00,5
1770136545376,1.253528103,10702893,BACK,1.10,1.27,6
1770136545376,1.253528103,10702893,BACK,1.02,269.20,7
1770136545376,1.253528103,10702893,BACK,1.01,379.25,8
1770136545376,1.253528103,10702893,BACK,1.04,187.53,9
1770136545376,1.253528103,10702893,BACK,1.05,15.00,10
1770136545376,1.253528103,10702893,BACK,1.06,15.00,11
1770136545376,1.253528103,10702893,BACK,1.03,172.57,12
1770136545376,1.253528103,10702893,LAY,1.21,351.59,0
1770136545376,1.253528103,10702893,LAY,1.19,734.88,1
1770136545376,1.253528103,10702893,LAY,1.20,572.51,2
1770136545376,1.253528103,10702893,LAY,1.22,18.25,3
1770136545376,1.253528103,10702893,LAY,1.27,4.00,4
1770136545376,1.253528103,10702893,LAY,1.23,35.04,5
1770136545376,1.253528103,10702893,LAY,1.24,4.00,6
1770136545376,1.253528103,10702893,LAY,1.26,4.00,7
1770136545376,1.253528103,10702893,LAY,1.25,34.49,8
1770136545376,1.253528103,10702893,LAY,1.28,4.00,9
1770136545376,1.253528103,10702893,LAY,280.00,2.59,10
1770136545376,1.253528103,10702893,LAY,380.00,2.59,11
1770136545376,1.253528103,10702893,LAY,350.00,2.59,12
1770136545376,1.253528103,10702893,LAY,330.00,2.59,13
1770136545376,1.253528103,10702893,LAY,150.00,2.59,14
1770136545376,1.253528103,10702893,LAY,180.00,1.72,15
1770136545382,1.253528103,58805,BACK,7.20,62.70,0
1770136545382,1.253528103,58805,BACK,6.20,7.78,1
1770136545382,1.253528103,58805,BACK,6.80,71.03,2
1770136545382,1.253528103,58805,BACK,7.00,74.71,3
1770136545382,1.253528103,58805,BACK,6.40,4.00,4
1770136545382,1.253528103,58805,BACK,6.00,6.37,5
1770136545382,1.253528103,58805,BACK,6.60,57.14,6
1770136545382,1.253528103,58805,BACK,1.01,3646.84,7
1770136545382,1.253528103,58805,BACK,2.00,2.00,8
