market_id,snapshot_at_utc,event_id,event_start_time_utc,home_team_name,away_team_name,market_type,total_volume,market_status,in_play,H_selection_id,A_selection_id,D_selection_id,H_back_odds_l1,H_back_size_l1,H_back_odds_l2,H_back_size_l2,H_back_odds_l3,H_back_size_l3,A_back_odds_l1,A_back_size_l1,A_back_odds_l2,A_back_size_l2,A_back_odds_l3,A_back_size_l3,D_back_odds_l1,D_back_size_l1,D_back_odds_l2,D_back_size_l2,D_back_odds_l3,D_back_size_l3
1.251623784,2026-02-06T20:02:15.098340+00:00,35054471,2026-02-06T19:30:00+00:00,Red Bull Salzburg,Austria Wien,MATCH_ODDS,35147.6,OPEN,True,52495026,181248,58805,6.2,54.35,6,71.14,5.9,76.99,1.58,87.49,1.57,170.76,1.56,257.04,4.6,162.57,4.5,247.66,4.4,152.68
1.251623784,2026-02-06T20:03:15.410911+00:00,35054471,2026-02-06T19:30:00+00:00,Red Bull Salzburg,Austria Wien,MATCH_ODDS,35462.8,OPEN,True,52495026,181248,58805,6.2,16.49,6,144.62,5.9,41.72,1.6,1911.16,1.59,168.58,1.56,83.15,4.5,176.36,4.4,126.79,4.3,294.65
1.251623784,2026-02-06T20:04:15.748011+00:00,35054471,2026-02-06T19:30:00+00:00,Red Bull Salzburg,Austria Wien,MATCH_ODDS,35514.3,OPEN,True,52495026,181248,58805,2.9,13.76,2.72,239.38,2.7,80.95,2.32,99.09,2.26,34.53,2.22,130.2,3.05,25.44,2.94,13.33,2.92,216.88
1.251623784,2026-02-06T20:05:16.058726+00:00,35054471,2026-02-06T19:30:00+00:00,Red Bull Salzburg,Austria Wien,MATCH_ODDS,35572.7,OPEN,True,52495026,181248,58805,2.92,20.44,2.9,14.76,2.72,80.83,2.46,31.43,2.44,157.72,2.42,27.52,3.45,20.22,3.4,32.36,3.25,11.46
1.251623784,2026-02-06T20:06:16.403676+00:00,35054471,2026-02-06T19:30:00+00:00,Red Bull Salzburg,Austria Wien,MATCH_ODDS,35514.3,OPEN,True,52495026,181248,58805,2.58,44.65,2.26,16.36,2.04,18.13,1.57,16.86,1.56,16.41,1.42,26.04,4.3,13.29,2.1,99.04,1.6,120
1.251623784,2026-02-06T20:07:16.716185+00:00,35054471,2026-02-06T19:30:00+00:00,Red Bull Salzburg,Austria Wien,MATCH_ODDS,35697.9,OPEN,True,52495026,181248,58805,2.52,70.93,2.1,13.92,2.08,18.27,1.76,17.87,1.75,42.04,1.71,27.52,4,27.2,3.9,11.02,2.1,98.99
1.251623784,2026-02-06T20:08:17.040151+00:00,35054471,2026-02-06T19:30:00+00:00,Red Bull Salzburg,Austria Wien,MATCH_ODDS,35514.3,OPEN,True,52495026,181248,58805,1.15,37.09,1.07,141.15,1.04,173.7,1.13,34.6,1.04,173.7,1.03,173.73,2.1,90,1.6,120,1.05,228.49
1.251623784,2026-02-06T20:09:17.349028+00:00,35054471,2026-02-06T19:30:00+00:00,Red Bull Salzburg,Austria Wien,MATCH_ODDS,42608.9,OPEN,True,52495026,181248,58805,6.8,57.42,6.6,114.61,6.4,258.21,1.55,1875.74,1.54,891.18,1.53,930.37,4.7,75.92,4.6,520.72,4.5,200.73
1.251623784,2026-02-06T20:10:17.751486+00:00,35054471,2026-02-06T19:30:00+00:00,Red Bull Salzburg,Austria Wien,MATCH_ODDS,48192.6,OPEN,True,52495026,181248,58805,6.6,141.1,6.4,147,6.2,140.16,1.55,968.49,1.53,62.94,1.52,113.8,4.7,53.07,4.6,579.28,4.5,171.35
1.251623784,2026-02-06T20:11:18.051044+00:00,35054471,2026-02-06T19:30:00+00:00,Red Bull Salzburg,Austria Wien,MATCH_ODDS,52020.2,OPEN,True,52495026,181248,58805,7,309.61,6.8,291.09,6.6,411.79,1.51,31.97,1.5,838.28,1.49,635.05,4.8,182.2,4.7,357.08,4.6,289.3
1.251623784,2026-02-06T20:12:18.434721+00:00,35054471,2026-02-06T19:30:00+00:00,Red Bull Salzburg,Austria Wien,MATCH_ODDS,52201.9,OPEN,True,52495026,181248,58805,7,26,6.8,246.28,6.6,186.76,1.52,141.54,1.51,271.36,1.5,657.18,4.8,173.64,4.7,228.44,4.6,329.95
1.251623784,2026-02-06T20:13:18.768388+00:00,35054471,2026-02-06T19:30:00+00:00,Red Bull Salzburg,Austria Wien,MATCH_ODDS,54039.9,OPEN,True,52495026,181248,58805,7,114.11,6.8,227.55,6.6,120.82,1.51,55.05,1.5,30.52,1.49,846.2,4.8,35.11,4.7,89.4,4.6,377.65
1.251623784,2026-02-06T20:14:19.106902+00:00,35054471,2026-02-06T19:30:00+00:00,Red Bull Salzburg,Austria Wien,MATCH_ODDS,54673.4,OPEN,True,52495026,181248,58805,7.2,292.22,7,194.84,6.8,431.83,1.5,19.96,1.49,28.52,1.48,81.14,4.9,129.21,4.8,212.55,4.7,348.5
1.251623784,2026-02-06T20:15:19.407662+00:00,35054471,2026-02-06T19:30:00+00:00,Red Bull Salzburg,Austria Wien,MATCH_ODDS,55191.3,OPEN,True,52495026,181248,58805,8.4,104.51,8.2,135.09,8,163.63,1.45,27.52,1.44,91.93,1.43,920.36,5.1,148.91,5,207.05,4.9,349.91
1.251623784,2026-02-06T20:16:19.778566+00:00,35054471,2026-02-06T19:30:00+00:00,Red Bull Salzburg,Austria Wien,MATCH_ODDS,55917.8,OPEN,True,52495026,181248,58805,9,17.32,8.8,209.35,8.6,170.35,1.4,563.14,1.39,1810.45,1.38,2246.34,5.3,153.45,5.2,308.47,5.1,211.84
