market_id,event_id,event_start_time_utc,home_team_name,away_team_name,snapshots_total,snapshots_pre_match,snapshots_in_match,snapshots_end_window,first_snapshot_at,last_snapshot_at,last_pre_match_snapshot_at,last_pre_match_gap_min,final_snapshot_at,final_snapshot_t_from_kickoff_min,has_pre_match,has_end_window,has_closed_status,coverage_flag
1.251623784,35054471,2026-02-06T19:30:00+00:00,Red Bull Salzburg,Austria Wien,28,0,28,0,2026-02-06 20:02:15.098340+00:00,2026-02-06 20:29:24.091866+00:00,,,2026-02-06 20:29:24.091866+00:00,59.40153110000001,False,False,False,FAIL
1.251722820,35061817,2026-02-07T15:30:00+00:00,PFC Levski Sofia,Botev Vratsa,2,0,2,0,2026-02-07 16:15:15.221764+00:00,2026-02-07 16:21:28.250137+00:00,,,2026-02-07 16:21:28.250137+00:00,51.47083561666667,False,False,False,FAIL
1.251722910,35061828,2026-02-06T15:45:00+00:00,CSKA Sofia,Arda,43,0,43,0,2026-02-06 16:01:48.103875+00:00,2026-02-06 16:44:05.007238+00:00,,,2026-02-06 16:44:05.007238+00:00,59.08345396666667,False,False,False,FAIL
1.251955876,35080984,2026-02-06T13:15:00+00:00,Montana,CSKA 1948 Sofia,14,0,14,0,2026-02-06 14:01:02.196584+00:00,2026-02-06 14:14:07.326892+00:00,,,2026-02-06 14:14:07.326892+00:00,59.12211486666667,False,False,False,FAIL
1.251997152,35083685,2026-02-06T19:45:00+00:00,Galway Utd,Drogheda,15,0,15,0,2026-02-06 20:30:24.415441+00:00,2026-02-06 20:44:28.883151+00:00,,,2026-02-06 20:44:28.883151+00:00,59.48138585,False,False,False,FAIL
1.253169216,35187329,2026-02-07T15:00:00+00:00,Arsenal,Sunderland,20,16,4,0,2026-02-07 11:00:05.647284+00:00,2026-02-07 15:45:14.317802+00:00,2026-02-07 14:45:12.662719+00:00,14.788954683333333,2026-02-07 15:45:14.317802+00:00,45.23863003333334,True,False,False,FAIL
1.253169351,35187322,2026-02-07T15:00:00+00:00,Fulham,Everton,6,2,4,0,2026-02-07 14:30:12.204297+00:00,2026-02-07 15:45:14.317802+00:00,2026-02-07 14:45:12.662719+00:00,14.788954683333333,2026-02-07 15:45:14.317802+00:00,45.23863003333334,True,False,False,FAIL
1.253169700,35187315,2026-02-07T15:00:00+00:00,Bournemouth,Aston Villa,20,16,4,0,2026-02-07 11:00:05.647284+00:00,2026-02-07 15:45:14.317802+00:00,2026-02-07 14:45:12.662719+00:00,14.788954683333333,2026-02-07 15:45:14.317802+00:00,45.23863003333334,True,False,False,FAIL
1.253169925,35187313,2026-02-07T15:00:00+00:00,Wolves,Chelsea,20,16,4,0,2026-02-07 11:00:05.647284+00:00,2026-02-07 15:45:14.317802+00:00,2026-02-07 14:45:12.662719+00:00,14.788954683333333,2026-02-07 15:45:14.317802+00:00,45.23863003333334,True,False,False,FAIL
1.253170094,35187308,2026-02-07T15:00:00+00:00,Burnley,West Ham,20,16,4,0,2026-02-07 11:00:05.647284+00:00,2026-02-07 15:45:14.317802+00:00,2026-02-07 14:45:12.662719+00:00,14.788954683333333,2026-02-07 15:45:14.317802+00:00,45.23863003333334,True,False,False,FAIL
1.253170409,35187316,2026-02-07T17:30:00+00:00,Newcastle,Brentford,17,13,4,0,2026-02-07 11:00:05.647284+00:00,2026-02-07 18:21:31.693830+00:00,2026-02-07 17:21:29.886664+00:00,8.501888933333333,2026-02-07 18:21:31.693830+00:00,51.5282305,True,False,False,FAIL
1.253170578,35187310,2026-02-08T14:00:00+00:00,Brighton,Crystal Palace,12,12,0,0,2026-02-07 21:06:36.245049+00:00,2026-02-07 23:51:40.765797+00:00,2026-02-07 23:51:40.765797+00:00,848.32057005,2026-02-07 23:51:40.765797+00:00,-848.32057005,True,False,False,FAIL
1.253170713,35187309,2026-02-07T12:30:00+00:00,Man Utd,Tottenham,10,6,4,0,2026-02-07 11:00:05.647284+00:00,2026-02-07 13:15:10.030524+00:00,2026-02-07 12:15:08.303145+00:00,14.86161425,2026-02-07 13:15:10.030524+00:00,45.1671754,True,False,False,FAIL
1.253170848,35187306,2026-02-08T16:30:00+00:00,Liverpool,Man City,30,30,0,0,2026-02-07 16:36:28.659109+00:00,2026-02-07 23:51:40.765797+00:00,2026-02-07 23:51:40.765797+00:00,998.32057005,2026-02-07 23:51:40.765797+00:00,-998.32057005,True,False,False,FAIL
1.253170983,35187302,2026-02-06T20:00:00+00:00,Leeds,Nottm Forest,15,0,15,0,2026-02-06 20:45:29.194471+00:00,2026-02-06 20:59:33.591404+00:00,,,2026-02-06 20:59:33.591404+00:00,59.559856733333326,False,False,False,FAIL
1.253189722,35188753,2026-02-07T17:00:00+00:00,Genoa,Napoli,29,25,4,0,2026-02-07 11:00:05.647284+00:00,2026-02-07 17:51:30.815016+00:00,2026-02-07 16:51:29.046594+00:00,8.5158901,2026-02-07 17:51:30.815016+00:00,51.5135836,True,False,False,FAIL
1.253189843,35188752,2026-02-07T19:45:00+00:00,Fiorentina,Torino,20,16,4,0,2026-02-07 16:00:14.750898+00:00,2026-02-07 20:36:35.480904+00:00,2026-02-07 19:36:33.823273+00:00,8.436278783333334,2026-02-07 20:36:35.480904+00:00,51.5913484,True,False,False,FAIL
1.253194280,35188845,2026-02-08T11:30:00+00:00,Bologna,Parma,8,8,0,0,2026-02-07 21:36:37.075413+00:00,2026-02-07 23:21:39.952580+00:00,2026-02-07 23:21:39.952580+00:00,728.3341236666668,2026-02-07 23:21:39.952580+00:00,-728.3341236666668,True,False,False,FAIL
1.253196113,35188981,2026-02-08T14:00:00+00:00,Lecce,Udinese,8,8,0,0,2026-02-07 21:06:36.245049+00:00,2026-02-07 23:06:39.580793+00:00,2026-02-07 23:06:39.580793+00:00,893.3403201166667,2026-02-07 23:06:39.580793+00:00,-893.3403201166667,True,False,False,FAIL
