schema,table,kind,approx_rows,total_bytes
stream_ingest,ladder_levels_initial,r,713282,138969088
public,traded_volume,r,640308,130449408
public,ladder_levels_20260206,r,374820,82444288
public,ladder_levels_20260205,r,293190,57483264
public,market_book_snapshots,r,11893,14893056
public,market_derived_metrics,r,12671,11730944
public,market_liquidity_history,r,17266,2711552
stream_ingest,market_liquidity_history,r,17303,2711552
public,market_event_metadata,r,781,401408
public,market_lifecycle_events,r,599,204800
public,runners,r,1089,196608
public,markets,r,433,172032
public,tracked_markets,r,293,147456
public,seen_markets,r,298,114688
public,events,r,200,73728
public,market_risk_snapshots,r,-1,65536
public,flyway_schema_history,r,-1,49152
stream_ingest,ladder_levels_20260303,r,0,16384
stream_ingest,ladder_levels_20260304,r,0,16384
stream_ingest,ladder_levels_20260305,r,0,16384
stream_ingest,ladder_levels_20260306,r,0,16384
stream_ingest,ladder_levels_20260307,r,0,16384
stream_ingest,ladder_levels_20260216,r,0,16384
public,ladder_levels_initial,r,-1,16384
stream_ingest,ladder_levels_20260217,r,0,16384
stream_ingest,ladder_levels_20260218,r,0,16384
stream_ingest,ladder_levels_20260219,r,0,16384
stream_ingest,ladder_levels_20260220,r,0,16384
stream_ingest,ladder_levels_20260221,r,0,16384
stream_ingest,ladder_levels_20260222,r,0,16384
stream_ingest,ladder_levels_20260223,r,0,16384
stream_ingest,ladder_levels_20260224,r,0,16384
stream_ingest,ladder_levels_20260225,r,0,16384
stream_ingest,ladder_levels_20260226,r,0,16384
stream_ingest,ladder_levels_20260227,r,0,16384
stream_ingest,ladder_levels_20260228,r,0,16384
stream_ingest,ladder_levels_20260301,r,0,16384
stream_ingest,ladder_levels_20260302,r,0,16384
stream_ingest,ladder_levels_20260317,r,0,16384
stream_ingest,ladder_levels_20260318,r,0,16384
stream_ingest,ladder_levels_20260308,r,0,16384
stream_ingest,ladder_levels_20260309,r,0,16384
stream_ingest,ladder_levels_20260310,r,0,16384
stream_ingest,ladder_levels_20260311,r,0,16384
stream_ingest,ladder_levels_20260312,r,0,16384
stream_ingest,ladder_levels_20260313,r,0,16384
stream_ingest,ladder_levels_20260314,r,0,16384
stream_ingest,ladder_levels_20260315,r,0,16384
stream_ingest,ladder_levels_20260316,r,0,16384
public,ladder_levels,p,-1,0
stream_ingest,ladder_levels,p,713282,0
