market_id,home_selection_id,away_selection_id,draw_selection_id
1.251575028,28214,113225,58805
1.251575500,28223,342868,58805
1.251575716,466299,2364082,58805
1.251623784,52495026,181248,58805
1.251722550,427650,1557407,58805
1.251722820,21868583,5618938,58805
1.251722910,46982,20731976,58805
1.251955876,3475110,20732043,58805
1.251997152,318841,184329,58805
1.252036724,44103,151003,58805
1.252181477,878125,1255220,58805
1.252233751,28214,28220,58805
1.252248167,10243490,22754856,58805
1.252248331,6293348,22099611,58805
1.253002218,63604,48324,58805
1.253002340,70385,55190,58805
1.253002461,28592,48756,58805
1.253002597,56299,69716,58805
1.253002724,47998,1703,58805
1.253002845,63908,25422,58805
1.253002966,56323,18567,58805
1.253003130,48759,48317,58805
1.253003251,48001,48044,58805
1.253003372,256171,62783,58805
1.253003493,69720,56764,58805
1.253003614,1096,69746,58805
1.253003735,69817,78864,58805
1.253169216,1096,62783,58805
1.253169351,56764,56343,58805
1.253169700,1141,63908,58805
1.253169925,48044,55190,58805
1.253170094,56299,48756,58805
1.253170409,25422,78864,58805
1.253170578,18567,62523,58805
1.253170713,48351,48224,58805
1.253170848,56323,47999,58805
1.253170983,48317,39674645,58805
1.253189722,60310,676464,58805
1.253189843,676467,44503,58805
1.253194280,199545,191607,58805
1.253196113,508827,215821,58805
1.253196274,2013140,63347,58805
1.253196401,52475015,56966,58805
1.253196522,215817,10513040,58805
1.253196733,56967,60297,58805
1.253199272,66483,10543,58805
1.253199408,10779,21678,58805
1.253199547,52480964,10542,58805
1.253199704,52480974,968185,58805
1.253199860,18573,309111,58805
1.253199995,60324,248010,58805
1.253200218,9162,214865,58805
1.253200358,52480965,44507,58805
1.253200493,66183,2426,58805
1.253200629,28191,59044,58805
1.253200812,473963,305969,58805
1.253200933,489720,52457652,58805
1.253201030,419123,11534958,58805
1.253201165,44800,5168454,58805
1.253201262,49058,111703,58805
1.253201394,70446,51404,58805
1.253201536,189829,361706,58805
1.253201633,50349,55264,58805
1.253201741,9220660,52494689,58805
1.253201849,7928242,3630179,58805
