event_id,markets,market_start_time,first_snapshot_time,last_snapshot_time,total_snapshots,capture_span
35187302,1,2026-02-06 20:00:00+00,2026-02-06 20:45:29.194471+00,2026-02-06 20:59:33.591404+00,15,00:14:04.396933
35189865,1,2026-02-07 04:00:00+00,2026-02-07 04:06:49.701207+00,2026-02-07 04:59:07.423291+00,53,00:52:17.722084
35189836,1,2026-02-07 06:00:00+00,2026-02-07 05:00:07.802462+00,2026-02-07 06:59:47.550844+00,120,01:59:39.748382
35189126,1,2026-02-07 15:15:00+00,2026-02-07 11:00:05.647284+00,2026-02-07 16:00:14.750898+00,21,05:00:09.103614
35188753,1,2026-02-07 17:00:00+00,2026-02-07 11:00:05.647284+00,2026-02-07 17:51:30.815016+00,29,06:51:25.167732
35187329,1,2026-02-07 15:00:00+00,2026-02-07 11:00:05.647284+00,2026-02-07 15:45:14.317802+00,20,04:45:08.670518
35187316,1,2026-02-07 17:30:00+00,2026-02-07 11:00:05.647284+00,2026-02-07 18:21:31.69383+00,17,07:21:26.046546
35187308,1,2026-02-07 15:00:00+00,2026-02-07 11:00:05.647284+00,2026-02-07 15:45:14.317802+00,20,04:45:08.670518
35187309,1,2026-02-07 12:30:00+00,2026-02-07 11:00:05.647284+00,2026-02-07 13:15:10.030524+00,10,02:15:04.38324
35187315,1,2026-02-07 15:00:00+00,2026-02-07 11:00:05.647284+00,2026-02-07 15:45:14.317802+00,20,04:45:08.670518
35187313,1,2026-02-07 15:00:00+00,2026-02-07 11:00:05.647284+00,2026-02-07 15:45:14.317802+00,20,04:45:08.670518
35191660,1,2026-02-07 14:30:00+00,2026-02-07 11:00:05.647284+00,2026-02-07 15:15:13.498345+00,17,04:15:07.851061
35191454,1,2026-02-07 14:30:00+00,2026-02-07 11:00:05.647284+00,2026-02-07 15:15:13.498345+00,18,04:15:07.851061
35213129,1,2026-02-07 11:30:00+00,2026-02-07 12:00:07.68868+00,2026-02-07 12:15:08.303145+00,2,00:15:00.614465
35214179,1,2026-02-07 12:00:00+00,2026-02-07 12:30:08.730004+00,2026-02-07 12:45:09.160078+00,2,00:15:00.430074
35214180,1,2026-02-07 12:00:00+00,2026-02-07 12:45:09.160078+00,2026-02-07 12:45:09.160078+00,1,00:00:00
35213269,1,2026-02-07 12:31:00+00,2026-02-07 13:00:09.585453+00,2026-02-07 13:30:10.415335+00,3,00:30:00.829882
35213287,1,2026-02-07 12:31:00+00,2026-02-07 13:30:10.415335+00,2026-02-07 13:30:10.415335+00,1,00:00:00
35189183,1,2026-02-07 16:00:00+00,2026-02-07 13:45:10.819933+00,2026-02-07 16:51:29.046594+00,10,03:06:18.226661
35191403,1,2026-02-07 14:30:00+00,2026-02-07 13:45:10.819933+00,2026-02-07 15:15:13.498345+00,7,01:30:02.678412
35187322,1,2026-02-07 15:00:00+00,2026-02-07 14:30:12.204297+00,2026-02-07 15:45:14.317802+00,6,01:15:02.113505
35188752,1,2026-02-07 19:45:00+00,2026-02-07 16:00:14.750898+00,2026-02-07 20:36:35.480904+00,20,04:36:20.730006
35189115,1,2026-02-07 20:00:00+00,2026-02-07 16:00:14.750898+00,2026-02-07 20:51:35.864748+00,21,04:51:21.11385
35213133,1,2026-02-07 15:01:00+00,2026-02-07 16:00:14.750898+00,2026-02-07 16:00:14.750898+00,1,00:00:00
35223111,1,2026-02-07 16:00:00+00,2026-02-07 16:15:15.221764+00,2026-02-07 16:51:29.046594+00,4,00:36:13.82483
35191305,1,2026-02-07 17:30:00+00,2026-02-07 16:15:15.221764+00,2026-02-07 18:21:31.69383+00,10,02:06:16.472066
35189197,1,2026-02-07 20:05:00+00,2026-02-07 16:36:28.659109+00,2026-02-07 20:51:35.864748+00,17,04:15:07.205639
35187306,1,2026-02-08 16:30:00+00,2026-02-07 16:36:28.659109+00,2026-02-08 17:22:09.286971+00,100,1 day 00:45:40.627862
35189119,1,2026-02-08 17:30:00+00,2026-02-07 17:36:30.289718+00,2026-02-08 18:22:10.984612+00,98,1 day 00:45:40.694894
35191407,1,2026-02-08 16:30:00+00,2026-02-07 18:36:32.146904+00,2026-02-08 17:22:09.286971+00,92,22:45:37.140067
35189141,1,2026-02-08 20:00:00+00,2026-02-07 20:06:34.601744+00,2026-02-08 20:52:14.878233+00,100,1 day 00:45:40.276489
35188980,1,2026-02-08 19:45:00+00,2026-02-07 21:06:36.245049+00,2026-02-08 20:37:14.517977+00,84,23:30:38.272928
35189215,1,2026-02-08 19:45:00+00,2026-02-08 16:22:07.668694+00,2026-02-08 20:37:14.517977+00,18,04:15:06.849283
35218038,1,2026-02-08 20:30:00+00,2026-02-08 18:07:10.603029+00,2026-02-08 21:22:15.722325+00,14,03:15:05.119296
35188979,1,2026-02-09 17:30:00+00,2026-02-08 18:37:11.393017+00,2026-02-09 18:17:32.323295+00,95,23:40:20.930278
35225477,1,2026-02-09 01:30:00+00,2026-02-08 19:07:12.169983+00,2026-02-09 02:22:23.587817+00,24,07:15:11.417834
35219283,1,2026-02-08 20:00:00+00,2026-02-08 19:07:12.169983+00,2026-02-08 20:52:14.878233+00,8,01:45:02.70825
35188982,1,2026-02-09 19:45:00+00,2026-02-08 19:52:13.383941+00,2026-02-09 20:32:35.988358+00,99,1 day 00:40:22.604417
35208203,1,2026-02-08 20:00:00+00,2026-02-08 20:07:13.77259+00,2026-02-08 20:52:14.878233+00,3,00:45:01.105643
