event_id,market_id,market_start_time,bucket_start_utc,publish_time_min_utc,received_time_max_utc,home_back_odds_l1,home_back_size_l1,home_back_odds_l2,home_back_size_l2,home_back_odds_l3,home_back_size_l3,home_back_odds_l4,home_back_size_l4,home_back_odds_l5,home_back_size_l5,home_back_odds_l6,home_back_size_l6,home_back_odds_l7,home_back_size_l7,home_back_odds_l8,home_back_size_l8,away_back_odds_l1,away_back_size_l1,away_back_odds_l2,away_back_size_l2,away_back_odds_l3,away_back_size_l3,away_back_odds_l4,away_back_size_l4,away_back_odds_l5,away_back_size_l5,away_back_odds_l6,away_back_size_l6,away_back_odds_l7,away_back_size_l7,away_back_odds_l8,away_back_size_l8,draw_back_odds_l1,draw_back_size_l1,draw_back_odds_l2,draw_back_size_l2,draw_back_odds_l3,draw_back_size_l3,draw_back_odds_l4,draw_back_size_l4,draw_back_odds_l5,draw_back_size_l5,draw_back_odds_l6,draw_back_size_l6,draw_back_odds_l7,draw_back_size_l7,draw_back_odds_l8,draw_back_size_l8
35166788,1.252931546,2026-02-05 20:00:00+00,2026-02-05 12:10:00+00,2026-02-05 12:10:54.031+00,2026-02-05 12:13:54.047+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166788,1.252931546,2026-02-05 20:00:00+00,2026-02-05 12:15:00+00,2026-02-05 12:19:54.038+00,2026-02-05 12:19:54.05+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166788,1.252931546,2026-02-05 20:00:00+00,2026-02-05 12:20:00+00,2026-02-05 12:22:54.041+00,2026-02-05 12:22:54.056+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166788,1.252931546,2026-02-05 20:00:00+00,2026-02-05 12:25:00+00,2026-02-05 12:25:54.043+00,2026-02-05 12:28:54.057+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166788,1.252931546,2026-02-05 20:00:00+00,2026-02-05 12:30:00+00,2026-02-05 12:31:54.047+00,2026-02-05 12:34:54.062+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166788,1.252931546,2026-02-05 20:00:00+00,2026-02-05 12:35:00+00,2026-02-05 12:37:54.051+00,2026-02-05 12:37:54.062+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166788,1.252931546,2026-02-05 20:00:00+00,2026-02-05 12:40:00+00,2026-02-05 12:40:54.053+00,2026-02-05 12:43:54.068+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166788,1.252931546,2026-02-05 20:00:00+00,2026-02-05 12:45:00+00,2026-02-05 12:46:54.057+00,2026-02-05 12:46:54.069+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166788,1.252931546,2026-02-05 20:00:00+00,2026-02-05 12:50:00+00,2026-02-05 12:50:15.079+00,2026-02-05 12:53:15.094+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166788,1.252931546,2026-02-05 20:00:00+00,2026-02-05 12:55:00+00,2026-02-05 12:59:15.087+00,2026-02-05 12:59:15.099+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166788,1.252931546,2026-02-05 20:00:00+00,2026-02-05 13:15:00+00,2026-02-05 13:17:13.111+00,2026-02-05 13:17:13.126+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166788,1.252931546,2026-02-05 20:00:00+00,2026-02-05 13:35:00+00,2026-02-05 13:38:13.13+00,2026-02-05 13:38:13.143+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166788,1.252931546,2026-02-05 20:00:00+00,2026-02-05 13:45:00+00,2026-02-05 13:49:57.466+00,2026-02-05 13:49:57.481+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166788,1.252931546,2026-02-05 20:00:00+00,2026-02-05 13:50:00+00,2026-02-05 13:52:57.468+00,2026-02-05 13:52:57.482+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166788,1.252931546,2026-02-05 20:00:00+00,2026-02-05 14:00:00+00,2026-02-05 14:04:57.482+00,2026-02-05 14:04:57.498+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166788,1.252931546,2026-02-05 20:00:00+00,2026-02-05 14:05:00+00,2026-02-05 14:07:57.485+00,2026-02-05 14:07:57.497+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166788,1.252931546,2026-02-05 20:00:00+00,2026-02-05 14:10:00+00,2026-02-05 14:10:57.486+00,2026-02-05 14:10:57.5+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166788,1.252931546,2026-02-05 20:00:00+00,2026-02-05 14:15:00+00,2026-02-05 14:16:57.491+00,2026-02-05 14:19:57.505+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
