event_id,markets,market_start_time,first_tick_time,last_tick_time,capture_span
35226507,1,2026-02-05 11:00:00+00,2026-02-05 12:07:54.024+00,2026-02-05 12:53:15.082+00,00:45:21.058
35175874,1,2026-02-05 20:00:00+00,2026-02-05 12:10:54.031+00,2026-02-05 21:48:21.857+00,09:37:27.826
35187302,1,2026-02-06 20:00:00+00,2026-02-05 12:10:54.031+00,2026-02-06 21:54:22.878+00,1 day 09:43:28.847
35187306,1,2026-02-08 16:30:00+00,2026-02-05 12:10:54.031+00,2026-02-06 23:57:22.957+00,1 day 11:46:28.926
35230067,1,2026-02-06 19:00:00+00,2026-02-05 12:10:54.031+00,2026-02-06 20:51:22.824+00,1 day 08:40:28.793
35187309,1,2026-02-07 12:30:00+00,2026-02-05 12:10:54.031+00,2026-02-06 23:57:22.957+00,1 day 11:46:28.926
35187313,1,2026-02-07 15:00:00+00,2026-02-05 12:10:54.031+00,2026-02-06 23:57:22.957+00,1 day 11:46:28.926
35187315,1,2026-02-07 15:00:00+00,2026-02-05 12:10:54.031+00,2026-02-06 23:57:22.957+00,1 day 11:46:28.926
35187329,1,2026-02-07 15:00:00+00,2026-02-05 12:10:54.031+00,2026-02-06 23:57:22.957+00,1 day 11:46:28.926
35188750,1,2026-02-06 19:45:00+00,2026-02-05 12:10:54.031+00,2026-02-06 21:39:22.868+00,1 day 09:28:28.837
35188752,1,2026-02-07 19:45:00+00,2026-02-05 12:10:54.031+00,2026-02-06 23:57:22.957+00,1 day 11:46:28.926
35188753,1,2026-02-07 17:00:00+00,2026-02-05 12:10:54.031+00,2026-02-06 23:54:22.955+00,1 day 11:43:28.924
35189115,1,2026-02-07 20:00:00+00,2026-02-05 12:10:54.031+00,2026-02-06 23:57:22.957+00,1 day 11:46:28.926
35189126,1,2026-02-07 15:15:00+00,2026-02-05 12:10:54.031+00,2026-02-06 23:57:22.957+00,1 day 11:46:28.926
35189141,1,2026-02-08 20:00:00+00,2026-02-05 12:10:54.031+00,2026-02-06 23:57:22.957+00,1 day 11:46:28.926
35189180,1,2026-02-06 19:45:00+00,2026-02-05 12:10:54.031+00,2026-02-06 21:45:22.872+00,1 day 09:34:28.841
35189836,1,2026-02-07 06:00:00+00,2026-02-05 12:10:54.031+00,2026-02-05 13:38:13.13+00,01:27:19.099
